Index,area,county,longitude,latitude,price,bathrooms,beds,ber_classification,property_type,surface_area,model
55,Duncormick,Wexford,-6.631998,52.22538,297000,4,5,D1,detached,139.4,314668.4656
56,New Ross,Wexford,-6.854698,52.194621,199950,3,3,C2,detached,245.79,343698.3146
57,Gorey,Wexford,-6.230505,52.572304,149000,2,3,D1,semi-detached,106.25,313597.2984
58,Gorey,Wexford,-6.273269,52.677674,194000,2,3,C1,terraced,105,313488.6755
59,Enniscorthy,Wexford,-6.559216,52.502025,137500,1,2,E2,semi-detached,75.3,307057.4533
60,Mayglass,Wexford,-6.501694,52.240874,225000,1,3,D2,detached,,286623.8171
61,New Ross,Wexford,-6.942811,52.35429,290000,3,5,C3,detached,220.16,335227.1084
62,Wellington Bridge,Wexford,-6.787294,52.24926,298000,2,4,C1,detached,209.77,335188.9357
63,Killinick,Wexford,-6.437826,52.249939,595000,3,4,C1,detached,,283300.0229
64,Ferns,Wexford,-6.5328164,52.5442428,950000,2,4,A2,detached,345,370336.451
65,Adamstown,Wexford,-6.779739,52.408651,635000,5,12,D2,detached,,270872.3403
66,Castlebridge,Wexford,-6.444516,52.38858,189000,3,3,C2,semi-detached,101.8,310050.0006
67,Wexford Town,Wexford,-6.477599,52.320759,279500,3,4,C2,semi-detached,124,314027.5838
68,Enniscorthy,Wexford,-6.576204,52.45448,360000,3,5,B3,detached,260,346548.1045
69,Gorey,Wexford,-6.210306,52.738459,395000,3,4,C1,detached,188,332012.7425
70,Gorey,Wexford,-6.27204,52.670205,200000,1,3,E1,detached,87,310207.7802
71,Barntown,Wexford,-6.549448,52.326822,499000,3,5,D2,detached,,282006.2768
72,Wexford Town,Wexford,-6.471229,52.340324,115000,2,2,G,terraced,,287037.0785
73,Duncannon,Wexford,-6.925589,52.232006,315000,2,2,B2,detached,80,305012.6732
74,Wexford Town,Wexford,-6.467402,52.337227,230000,3,3,C3,semi-detached,97,308628.3385
75,Kilmore,Wexford,-6.517734,52.199918,695000,5,4,B3,detached,296.5,353753.0575
76,New Ross,Wexford,-6.881606,52.228647,215000,1,3,G,detached,,285381.3129
77,New Ross,Wexford,-6.949339,52.386928,299000,2,4,C1,detached,,283300.8597
78,Courtown,Wexford,-6.239335,52.642463,165000,2,3,D1,end-of-terrace,93,310520.0314
79,Rosslare Harbour,Wexford,-6.337288,52.248337,195000,5,7,C3,end-of-terrace,196,326100.425
80,Duncannon,Wexford,-6.928125,52.22237,215000,3,3,D2,semi-detached,,282843.9485
81,Fethard-On-Sea,Wexford,-6.852623,52.179369,395000,2,4,Exempt,detached,167.2,324244.5806
82,Murrintown,Wexford,-6.536404,52.291399,187500,2,3,C3,detached,92.9,308436.0779
83,Kilmore Quay,Wexford,-6.587257,52.176783,99750,2,4,E1,terraced,,283778.6237
84,Fethard,Wexford,-6.863048,52.233103,295000,3,5,C3,detached,220,335054.297
